13	10	E	-7164075.840730252	200
emissionprobs	8	0	CtcfStdAlnRep1	1	0.08923119822918685
emissionprobs	8	1	Ezh239875AlnRep1	0	0.9698273254039053
emissionprobs	8	1	Ezh239875AlnRep1	1	0.030172674596094788
emissionprobs	8	2	H2azStdAlnRep1	0	0.418233417600266
emissionprobs	8	2	H2azStdAlnRep1	1	0.5817665823997339
emissionprobs	8	3	H3k27acStdAlnRep1	0	0.022682915601348587
emissionprobs	8	3	H3k27acStdAlnRep1	1	0.9773170843986514
emissionprobs	8	4	H3k4me1StdAlnRep1	0	0.17385870007185056
emissionprobs	8	4	H3k4me1StdAlnRep1	1	0.8261412999281494
emissionprobs	8	5	H3k4me2StdAlnRep1	0	0.05179383944645592
emissionprobs	8	5	H3k4me2StdAlnRep1	1	0.948206160553544
emissionprobs	8	6	H3k4me3StdAlnRep1	0	0.7538499237100605
emissionprobs	8	6	H3k4me3StdAlnRep1	1	0.24615007628993943
emissionprobs	8	7	H3k9acStdAlnRep1	0	0.2532556660562573
emissionprobs	8	7	H3k9acStdAlnRep1	1	0.7467443339437426
emissionprobs	8	8	H3k9me3StdAlnRep1	0	0.983275989743256
emissionprobs	8	8	H3k9me3StdAlnRep1	1	0.016724010256743995
emissionprobs	8	9	H4k20me1StdAlnRep1	0	0.9714667323555756
emissionprobs	8	9	H4k20me1StdAlnRep1	1	0.02853326764442442
emissionprobs	9	0	CtcfStdAlnRep1	0	0.8661875738413785
emissionprobs	9	0	CtcfStdAlnRep1	1	0.1338124261586216
emissionprobs	9	1	Ezh239875AlnRep1	0	0.9902937953790488
emissionprobs	9	1	Ezh239875AlnRep1	1	0.009706204620951094
emissionprobs	9	2	H2azStdAlnRep1	0	0.25349747313618143
emissionprobs	9	2	H2azStdAlnRep1	1	0.7465025268638187
emissionprobs	9	3	H3k27acStdAlnRep1	0	0.22516873466477197
emissionprobs	9	3	H3k27acStdAlnRep1	1	0.7748312653352282
emissionprobs	9	4	H3k4me1StdAlnRep1	0	0.8779861034366229
emissionprobs	9	4	H3k4me1StdAlnRep1	1	0.12201389656337719
emissionprobs	9	5	H3k4me2StdAlnRep1	0	0.10260918981644682
emissionprobs	9	5	H3k4me2StdAlnRep1	1	0.8973908101835532
emissionprobs	9	6	H3k4me3StdAlnRep1	0	0.010060011702456477
emissionprobs	9	6	H3k4me3StdAlnRep1	1	0.9899399882975435
emissionprobs	9	7	H3k9acStdAlnRep1	0	0.03807139864270528
emissionprobs	9	7	H3k9acStdAlnRep1	1	0.9619286013572947
emissionprobs	9	8	H3k9me3StdAlnRep1	0	0.9731626991950323
emissionprobs	9	8	H3k9me3StdAlnRep1	1	0.026837300804967795
emissionprobs	9	9	H4k20me1StdAlnRep1	0	0.9826950738401053
emissionprobs	9	9	H4k20me1StdAlnRep1	1	0.01730492615989463
emissionprobs	10	0	CtcfStdAlnRep1	0	0.8578338790868429
emissionprobs	10	0	CtcfStdAlnRep1	1	0.14216612091315703
emissionprobs	10	1	Ezh239875AlnRep1	0	0.9183787574965399
emissionprobs	10	1	Ezh239875AlnRep1	1	0.08162124250346015
emissionprobs	10	2	H2azStdAlnRep1	0	0.30540541192300086
emissionprobs	10	2	H2azStdAlnRep1	1	0.6945945880769993
emissionprobs	10	3	H3k27acStdAlnRep1	0	0.9744199234639747
emissionprobs	10	3	H3k27acStdAlnRep1	1	0.02558007653602537
emissionprobs	10	4	H3k4me1StdAlnRep1	0	0.8057221185755205
emissionprobs	10	4	H3k4me1StdAlnRep1	1	0.1942778814244796
emissionprobs	10	5	H3k4me2StdAlnRep1	0	0.23737996683240362
emissionprobs	10	5	H3k4me2StdAlnRep1	1	0.7626200331675964
emissionprobs	10	6	H3k4me3StdAlnRep1	0	0.07739595270276457
emissionprobs	10	6	H3k4me3StdAlnRep1	1	0.9226040472972354
emissionprobs	10	7	H3k9acStdAlnRep1	0	0.8151660891846036
emissionprobs	10	7	H3k9acStdAlnRep1	1	0.1848339108153963
emissionprobs	10	8	H3k9me3StdAlnRep1	0	0.9449902153265223
emissionprobs	10	8	H3k9me3StdAlnRep1	1	0.05500978467347769
emissionprobs	10	9	H4k20me1StdAlnRep1	0	0.9983410215191554
emissionprobs	10	9	H4k20me1StdAlnRep1	1	0.00165897848084467
emissionprobs	11	0	CtcfStdAlnRep1	0	0.9599852742920466
emissionprobs	11	0	CtcfStdAlnRep1	1	0.040014725707953364
emissionprobs	11	1	Ezh239875AlnRep1	0	0.9821701610023862
emissionprobs	11	1	Ezh239875AlnRep1	1	0.01782983899761386
emissionprobs	11	2	H2azStdAlnRep1	0	0.9750711253964508
emissionprobs	11	2	H2azStdAlnRep1	1	0.024928874603549242
emissionprobs	11	3	H3k27acStdAlnRep1	0	0.8672689821496612
